rowid	repo	accession	data url	total citations	article reference note; see also: 'COMMENTS'	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	How many merged citation records?	WoS Cited by how many?	COMMENTS	Google Scholar Search Term	Search results	Dropbox filenames (for multiple files or multiple citations)	Imported to Mendeley?	Link ot GS results	MONTH_wos_citingPaper_colxn	DAY_wos_citingPaper_colxn	YEAR_wos_citingPaper_colxn	string matched to (partial) file name to extract data collection date data	Journal (for Journal Archives Set)	"date made public (ArrayExpress, GEO)"	WOS cited by collected (HEPData)	Published and PrePrint INFO (HEPData)	"authors (GEOROC, Journal Archives (International Studies Quarterly = authors (pub. Yr.))"	"jrnl vol year pages (GEOROC); year (ICPSR); pub month, year, volume, issue (JournalArchives - but NOT: International Studies Quarterly; Journal of Peace Research = vol, issue only)"	"article title (GEOROC, JournalArchives)"	misc bibliographic (Biostats; Journal of Applied Econometrics; Journal of Conflict Resolution; International Studies Quarterly); page numbers( Journal of Money Credit and Banking; The Federal Reserve Bank of St Louis Review; American Economic Review); author_title ( Journal of Peace Research)	"article ref when multiple in record, if there was a difference in scope, this version is less inclusive (JournalArchives); article ref from data source (TreeBase)"	data citation (dataset doi) OLD that differ from NEW dataset DOI's (Pangaea)	Total Data Reuses (Pangaea)	Unable to access full text (Pangaea)	Date Recorded (Pangaea)
2	ArrayExpress	E-MEXP-310	NA	NA	NA	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney McCluskey; Keith Edwards; Michael Holdsworth; Peter Shewry.	NA	NA	NA	NA	NA	NA	primary citation on ArrayExpress database only had author's names and no journal references - INCOMPLETE	E-MEXP-310	0	NA	NA	NA	NA	NA	NA	NA	NA	4/25/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	ArrayExpress	E-TABM-24	NA	24	NA	"Cayrol C, Lacroix C, Mathe C, Ecochard V, Ceribelli M, Loreau E, Lazar V,Dessen P, Mantovani R, Aguilar L, Girard JP. The THAP-zinc finger protein THAP1regulates endothelial cell proliferation through modulation of pRB/E2F cell-cycletarget genes. Blood. 2007 Jan 15;109(2):584-94. Epub 2006 Sep 26. PubMed PMID:17003378."	17003378	NA	y 	1	1	24	NA	E-TABM-24	0	NA	NA	NA	Oct	30	2010	E-TABM-24	NA	7/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	ArrayExpress	E-MEXP-437	NA	14	NA	"Le Qu_r_ A, Eriksen KA, Rajashekar B, Sch_tzend_bel A, Canb_ck B, Johansson T,Tunlid A. Screening for rapidly evolving genes in the ectomycorrhizal fungusPaxillus involutus using cDNA microarrays. Mol Ecol. 2006 Feb;15(2):535-50.PubMed PMID: 16448419."	16448419	NA	y 	1	1	14	NA	E-MEXP-437	0	NA	NA	NA	Oct	30	2010	E-MEXP-437	NA	9/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	ArrayExpress	E-MEXP-116	NA	1	NA	"Transcriptome analysis provides new insights into liver changes induced in the rat upon dietary administration of the food additives butylated hydroxytoluene, curcumin, propyl gallate and thiabendazole. Stierum R, Conesa A, Heijne W, Ommen BV, Junker K, Scott MP, Price RJ, Meredith C, Lake BG, Groten J. Food Chem Toxicol.  (Food Chem Toxicol.) (-)"	18539377	NA	y 	1	1	1	NA	E-MEXP-116	0	NA	NA	NA	Oct	30	2010	E-MEXP-116	NA	2/14/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	ArrayExpress	E-MEXP-432	NA	145	NA	"Leibfried A, To JP, Busch W, Stehling S, Kehle A, Demar M, Kieber JJ, Lohmann JU. WUSCHEL controls meristem function by direct regulation ofcytokinin-inducible response regulators. Nature. 2005 Dec 22;438(7071):1172-5.PubMed PMID: 16372013."	16372013	NA	y 	1	1	145	NA	E-MEXP-432	1	NA	y	NA	Oct	30	2010	E-MEXP-432	NA	10/6/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	ArrayExpress	E-MEXP-416	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/2/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	ArrayExpress	E-TABM-61	NA	1	NA	"Yu BX. [Examination of maximum transdiaphragmatic pressure, diaphragmelectromyography in patients with obstructive emphysema]. Zhonghua Jie He He HuXi Za Zhi. 1992 Jun;15(3):155-7, 191. Chinese. PubMed PMID: 1473188."	1473188	NA	y	1	1	1	NA	E-TABM-61	2	NA	y	NA	Oct	30	2010	E-TABM-61	NA	11/17/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	ArrayExpress	E-MEXP-442	NA	15	NA	"Pir P, Kirdar B, Hayes A, Onsan ZY, Ulgen KO, Oliver SG. Integrativeinvestigation of metabolic and transcriptomic data. BMC Bioinformatics. 2006 Apr 12;7:203. PubMed PMID: 16611354; PubMed Central PMCID: PMC1481621."	16611354	NA	y	1	1	15	NA	E-MEXP-442	0	NA	NA	NA	Oct	30	2010	E-MEXP-442	NA	10/6/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	ArrayExpress	E-TIGR-122	NA	222	NA	"Independence and reproducibility across microarray platforms. Jennie E Larkin, Bryan C Frank, Haralambos Gavras, Razvan Sultana and John Quackenbush. Nat Methods 2:337 - 344 (Nat Methods)"	NA	10.1038/NMETH757	y	3	3	222	NA	E-TIGR-122	0	NA	NA	NA	Oct	30	2010	E-TIGR-122	NA	12/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	ArrayExpress	E-MEXP-468	NA	26	NA	"Capela D, Filipe C, Bobik C, Batut J, Bruand C. Sinorhizobium melilotidifferentiation during symbiosis with alfalfa: a transcriptomic dissection. MolPlant Microbe Interact. 2006 Apr;19(4):363-72. PubMed PMID: 16610739."	16610739	NA	y	1	1	26	NA	E-MEXP-468	0	NA	NA	NA	Oct	30	2010	E-MEXP-468	NA	11/4/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	ArrayExpress	E-MEXP-469	NA	38	NA	"Schommer C, Palatnik JF, Aggarwal P, Ch_telat A, Cubas P, Farmer EE, Nath U,Weigel D. Control of jasmonate biosynthesis and senescence by miR319 targets.PLoS Biol. 2008 Sep 23;6(9):e230. PubMed PMID: 18816164; PubMed Central PMCID:PMC2553836."	18816164	NA	y	3	3	38	NA	E-MEXP-469	0	NA	NA	NA	Oct	30	2010	E-MEXP-469	NA	11/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	ArrayExpress	E-MEXP-370	NA	1	NA	"Delahaye NF, Coltel N, Puthier D, Flori L, Houlgatte R, Iraqi FA, Nguyen C,Grau GE, Rihet P. Gene-expression profiling discriminates between cerebralmalaria (CM)-susceptible mice and CM-resistant mice. J Infect Dis. 2006 Jan15;193(2):312-21. Epub 2005 Dec 5. PubMed PMID: 16362897."	16362897	NA	y	1	1	1	NA	E-MEXP-370	0	NA	NA	NA	Oct	30	2010	E-MEXP-370	NA	8/1/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	ArrayExpress	E-TABM-29	NA	1	NA	"Cummings CA, Bootsma HJ, Relman DA, Miller JF. Species- and strain-specificcontrol of a complex, flexible regulon by Bordetella BvgAS. J Bacteriol. 2006Mar;188(5):1775-85. PubMed PMID: 16484188; PubMed Central PMCID: PMC1426559."	16484188	NA	y	1	1	1	NA	E-TABM-29	1	NA	y	NA	Oct	30	2010	E-TABM-29	NA	8/16/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	ArrayExpress	E-MEXP-283	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3/30/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	ArrayExpress	E-CAGE-21	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/7/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	ArrayExpress	E-MEXP-350	NA	12	NA	"Microarray analysis of differentially expressed genes after exposure of normal human fibroblasts to ionizing radiation from an external source and from DNA-incorporated iodine-125 radionuclide. Sokolov MV, Smirnova NA, Camerini-Otero RD, Neumann RD, Panyutin IG. Gene 382:47-56 (Gene), PubMed 16876969"	16876969	NA	y	1	1	12	NA	E-MEXP-350	1	NA	y	NA	Oct	30	2010	E-MXP-350	NA	6/6/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	ArrayExpress	E-MEXP-439	NA	NA	citation incomplete	Genome Biol 	NA	NA	NA	NA	NA	NA	primary citation on ArrayExpress database only had journal reference - INCOMPLETE	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	9/30/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	ArrayExpress	E-MEXP-301	NA	NA	NA	Nils Rostoks; Peter Hedley; Hui Liu; Robbie Waugh.	NA	NA	NA	NA	NA	NA	primary citation on ArrayExpress database only had author's names - INCOMPLETE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4/13/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	ArrayExpress	E-CAGE-52	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10/20/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	ArrayExpress	E-MNIA-73	NA	NA	NA	"High-throughput screen for genes predominantly expressed in the ICM of mouse blastocysts by whole mount in situ hybridization. Yoshikawa,Toshiyuki ;Yulan Piao;Jinhui Zhong;Ryo Matoba;Mark G. Carter;Yuxia Wang;Ilya Goldberg;Minoru S.H. Ko. Mech Dev  (Mech Dev)"	16325481	NA	n	NA	NA	NA	not found in ISI Web of Science database	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9/21/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	ArrayExpress	E-MEXP-483	NA	92	NA	"Meletis K, Wirta V, Hede SM, Nist_r M, Lundeberg J, Fris_n J. p53 suppressesthe self-renewal of adult neural stem cells. Development. 2006 Jan;133(2):363-9. PubMed PMID: 16368933."	16368933	NA	y	1	1	92	NA	E-MEXP-483	0	NA	NA	NA	Oct	30	2010	E-MEXP-483	NA	11/17/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	ArrayExpress	E-RZPD-18	NA	NA	citation missing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6/3/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	ArrayExpress	E-MEXP-257	NA	35	NA	"Cobb J, Duboule D. Comparative analysis of genes downstream of the Hoxdcluster in developing digits and external genitalia. Development. 2005Jul;132(13):3055-67. PubMed PMID: 15944189."	15944189	NA	y	1	1	35	NA	E-MEXP-257	0	NA	NA	NA	Oct	30	2010	E-MEXP-257	NA	1/28/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	ArrayExpress	E-TABM-56	NA	62	NA	"Sandmann T, Jensen LJ, Jakobsen JS, Karzynski MM, Eichenlaub MP, Bork P,Furlong EE. A temporal map of transcription factor activity: mef2 directlyregulates target genes at all stages of muscle development. Dev Cell. 2006Jun;10(6):797-807. PubMed PMID: 16740481."	16740481	NA	y	1	1	62	NA	E-TABM-56	1	NA	y	NA	Oct	30	2010	E-TABM-56	NA	11/11/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	ArrayExpress	E-MEXP-324	NA	33	NA	"Smirnova JB, Selley JN, Sanchez-Cabo F, Carroll K, Eddy AA, McCarthy JE,Hubbard SJ, Pavitt GD, Grant CM, Ashe MP. Global gene expression profilingreveals widespread yet distinctive translational responses to differenteukaryotic translation initiation factor 2B-targeting stress pathways. Mol CellBiol. 2005 Nov;25(21):9340-9. PubMed PMID: 16227585; PubMed Central PMCID:PMC1265828."	16227585	NA	y	1	1	33	NA	E-MEXP-324	1	NA	y	NA	Oct	30	2010	E-MEXP-324	NA	5/9/2005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
