rowid	repo	accession	total citations	date made public	article reference	PubMed ID	Data Collection Article DOI	in ISI Web of Science? (Y/N)	How many merged citation records?	WoS Cited by how many?	COMMENTS	Dropbox filenames (for multiple files or multiple citations)	Google Scholar Search Term	Search results	Imported to Mendeley?														
2	ArrayExpress	E-MEXP-310		4/25/2005	Maria Marcela Baudo; Rebecca Lyons; Stephen Powers; Melloney McCluskey; Keith Edwards; Michael Holdsworth; Peter Shewry.						primary citation on ArrayExpress database only had author's names and no journal references - INCOMPLETE		E-MEXP-310	0															
3	ArrayExpress	E-TABM-24	24	7/28/2005	Cayrol C, Lacroix C, Mathe C, Ecochard V, Ceribelli M, Loreau E, Lazar V,Dessen P, Mantovani R, Aguilar L, Girard JP. The THAP-zinc finger protein THAP1regulates endothelial cell proliferation through modulation of pRB/E2F cell-cycletarget genes. Blood. 2007 Jan 15;109(2):584-94. Epub 2006 Sep 26. PubMed PMID:17003378.	17003378		y 	1	24			E-TABM-24	0															
4	ArrayExpress	E-MEXP-437	14	9/28/2005	Le QuÃ©rÃ© A, Eriksen KA, Rajashekar B, SchÃ_tzendÃ_bel A, CanbÃ_ck B, Johansson T,Tunlid A. Screening for rapidly evolving genes in the ectomycorrhizal fungusPaxillus involutus using cDNA microarrays. Mol Ecol. 2006 Feb;15(2):535-50.PubMed PMID: 16448419.	16448419		y 	1	14			E-MEXP-437	0															
5	ArrayExpress	E-MEXP-116	1	2/14/2005	Transcriptome analysis provides new insights into liver changes induced in the rat upon dietary administration of the food additives butylated hydroxytoluene, curcumin, propyl gallate and thiabendazole. Stierum R, Conesa A, Heijne W, Ommen BV, Junker K, Scott MP, Price RJ, Meredith C, Lake BG, Groten J. Food Chem Toxicol.  (Food Chem Toxicol.) (-)	18539377		y 	1	1			E-MEXP-116	0															
6	ArrayExpress	E-MEXP-432	145	10/6/2005	Leibfried A, To JP, Busch W, Stehling S, Kehle A, Demar M, Kieber JJ, Lohmann JU. WUSCHEL controls meristem function by direct regulation ofcytokinin-inducible response regulators. Nature. 2005 Dec 22;438(7071):1172-5.PubMed PMID: 16372013.	16372013		y 	1	145			E-MEXP-432	1	y														
7	ArrayExpress	E-MEXP-416		9/2/2005	citation missing 																								
8	ArrayExpress	E-TABM-61	1	11/17/2005	Yu BX. [Examination of maximum transdiaphragmatic pressure, diaphragmelectromyography in patients with obstructive emphysema]. Zhonghua Jie He He HuXi Za Zhi. 1992 Jun;15(3):155-7, 191. Chinese. PubMed PMID: 1473188.	1473188		y	1	1			E-TABM-61	2	y														
9	ArrayExpress	E-MEXP-442	15	10/6/2005	Pir P, Kirdar B, Hayes A, Onsan ZY, Ulgen KO, Oliver SG. Integrativeinvestigation of metabolic and transcriptomic data. BMC Bioinformatics. 2006 Apr 12;7:203. PubMed PMID: 16611354; PubMed Central PMCID: PMC1481621.	16611354		y	1	15			E-MEXP-442	0															
10	ArrayExpress	E-TIGR-122	222	12/1/2005	Independence and reproducibility across microarray platforms. Jennie E Larkin, Bryan C Frank, Haralambos Gavras, Razvan Sultana and John Quackenbush. Nat Methods 2:337 - 344 (Nat Methods)		10.1038/NMETH757	y	3	222			E-TIGR-122	0															
11	ArrayExpress	E-MEXP-468	26	11/4/2005	Capela D, Filipe C, Bobik C, Batut J, Bruand C. Sinorhizobium melilotidifferentiation during symbiosis with alfalfa: a transcriptomic dissection. MolPlant Microbe Interact. 2006 Apr;19(4):363-72. PubMed PMID: 16610739.	16610739		y	1	26			E-MEXP-468	0															
