index number,summary,url,Dropbox name,article reference,Article DOI,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,# WoS Cited by collected?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Scholar query,GS relevant results
1,"Published: PL B638,128 Preprint: CERN-PH-EP/2005-058 (Spires ID: 6618987)",http://hepdata.cedar.ac.uk/view/p381,p381,"(P. Achard et al.).  Phys.Lett.B638:128-139,2006. ",10.1016/j.physletb.2006.05.006,Y,0,1,0,,,"HEPData AND ""p381""",0
2,"Published: EPJ C47,1 Preprint: CERN-PH-EP/2005-044 (Spires ID: 6557783)",http://hepdata.cedar.ac.uk/view/p379,p379,"(P. Achard et al.). Eur.Phys.J.C47:1-19,2006. ",10.1140/epjc/s2006-02539-1,Y,1,5,5,,,"HEPData AND ""p379""",0
3,"Published: ZETFP 82,841 Preprint: HEP-EX/0603021 (Spires ID: 6557775)",http://hepdata.cedar.ac.uk/view/p1355,p1355,"(V.M. Aulchenko et al.).  JETP Lett.82:743-747,2005, Pisma Zh.Eksp.Teor.Fiz.82:841-845,2005. ",10.1134/1.2175241,Y,1,46,29,,,"HEPData AND ""p1355""",0
4,"Published: EPJ C46,559 Preprint: CERN-EP-PH/2005-029 (Spires ID: 6555543)",http://hepdata.cedar.ac.uk/view/p336,p336,"(J. Abdallah et al.).  Eur.Phys.J.C46:559-568,2006",10.1140/epjc/s2006-02496-7,Y,1,1,1,,,"HEPData AND ""p336""",0
5,"Published: EPJ A26,399 (Spires ID: 6542620)",http://hepdata.cedar.ac.uk/view/p6862,p6862,"(O. Bartalini et al.).  Eur.Phys.J.A26:399-419,2005",10.1140/epja/i2005-10191-2,Y,1,52,47,,,"HEPData AND ""p6862""",0
6,Preprint: HEP-EX/0601001 (Spires ID: 6475000),http://hepdata.cedar.ac.uk/view/p1351,p1351,H. Okada et al. e-Print: hep-ex/0601001,,Incomplete citation. Not found,,,,,,"HEPData AND ""p1351""",0
7,"Published: PRL 96,122001 Preprint: FERMILAB-PUB-05-555-E",http://hepdata.cedar.ac.uk/view/p1123,p1123,"(A. Abulencia et al.).  Phys.Rev.Lett.96:122001,2006",10.1103/PhysRevLett.96.122001 ,Y,1,23,19,,,"HEPData AND ""p1123""",0
8,"Published: PL B634,173 Preprint: DESY-05-249 (Spires ID: 6470831)",http://hepdata.cedar.ac.uk/view/p741,p741,"(A. Aktas et al.).  Phys.Lett.B634:173-179,2006",10.1016/j.physletb.2006.01.054,Y,1,23,15,,,"HEPData AND ""p741""",0
9,"Published: PR C73,035214 Preprint: HEP-EX/0512053 (Spires ID: 6469604)",http://hepdata.cedar.ac.uk/view/p1350,p1350,"(M. Sumihama et al.). Phys.Rev.C73:035214,2006; e-Print: hep-ex/0512053",10.1103/PhysRevC.73.035214 ,Y,3,76,66,,,"HEPData AND ""p1350""",0
10,"Published: PRL 96,092002 Preprint: CLNS-05-1939 (Spires ID: 6464521)",http://hepdata.cedar.ac.uk/view/p628,p628,"(D. Besson et al.) Phys.Rev.Lett.96:092002,2006, Erratum-ibid.104:159901,2010. ",10.1103/PhysRevLett.96.092002 ,Y,1,32,29,,,"HEPData AND ""p628""",0
11,"Published: PRL 96,062001 Preprint: NUCL-EX/0512019 (Spires ID: 6459838)",http://hepdata.cedar.ac.uk/view/p3100,p3100,"M. Dugger et al. Phys.Rev.Lett.96:062001,2006, Erratum-ibid.96:169905,2006.; e-Print: nucl-ex/0512019",10.1103/PhysRevLett.96.062001,Y,1,29,25,,,"HEPData AND ""p3100""",0
12,"Published: PR D73,052005 Preprint: DESY-05-233 (Spires ID: 6454739)",http://hepdata.cedar.ac.uk/view/p7999,p7999,"(I. Abt et al.). Phys.Rev.D73:052005,2006. ",10.1103/PhysRevD.73.052005,Y,1,14,13,,,"HEPData AND ""p7999""",0
13,"Published: PL B638,407 Preprint: HEP-EX/0512029 (Spires ID: 6454720)",http://hepdata.cedar.ac.uk/view/p7998,p7998,"(I. Abt et al.). Phys.Lett.B638:407-414,2006. ",10.1016/j.physletb.2006.03.064,Y,1,10,10,,,"HEPData AND ""p7998""",0
