study number,doi,url,article reference,pub year,in ISI Web of Science? (Y/N),How many merged citation records?,WoS Cited by how many?,COMMENTS,Dropbox filenames (for multiple files or multiple citations),Google Search query
1306,10.3886/ICPSR01306,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01306/resources ,"Thornton, Daniel L. Testing the Expectations Hypothesis: Some New Evidence for Japan. Federal Reserve Bank of St. Louis Review. 86, (5), 21-40.",2004,y,1,1,dropbox file names based on study number,,"10.3886/ICPSR01306 OR ICPSR1306 OR ""ICPSR 1306""",0
1307,10.3886/ICPSR01307,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01307/resources ,"Coughlin, Cletus C. The Increasing Importance of Proximity for Exports from U.S. States. Federal Reserve Bank of St. Louis Review. 86, (6), 1-18",2004,y,1,9,,,"10.3886/ICPSR01307 OR ICPSR1307 OR ""ICPSR 1307""",0
1308,10.3886/ICPSR01308,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01308/resources ,"Bordo, Michael D.,  Wheelock, David C. Monetary Policy and Asset Prices: A Look Back at Past U.S. Stock Market Booms. Federal Reserve Bank of St. Louis Review. 86, (6), 19-44.",2004,y,1,2,,,"10.3886/ICPSR01308 OR ICPSR1308 OR ""ICPSR 1308""",0
1309,10.3886/ICPSR01309,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01309/resources ,"Sierra, Gregory E.,  Yeager, Timothy J. What Does the Federal Reserve's Economic Value Model Tell Us About Interest Rate Risk at U.S. Community Banks?. Federal Reserve Bank of St. Louis Review. 86, (6), 45-60.",2004,y,1,4,,,"10.3886/ICPSR01309 OR ICPSR1309 OR ""ICPSR 1309""",0
1310,10.3886/ICPSR01310,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01310/resources ,"Dueker, Michael J.,  Rasche, Robert H. Discrete Policy Changes and Empirical Models of the Federal Funds Rate. Federal Reserve Bank of St. Louis Review. 86, (6), 61-72.",2004,y,1,1,,,"10.3886/ICPSR01310 OR ICPSR1310 OR ""ICPSR 1310""",0
1311,10.3886/ICPSR01311,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01311/resources ,"Box-Steffensmeier, Janet M.,  Radcliffe, Peter M.,  Bartels, Brandon L. The Incidence and Timing of PAC Contributions to Incumbent U.S. House Members, 1993-1994. Legislative Studies Quarterly.",2005,y,1,5,,,"10.3886/ICPSR01311 OR ICPSR1311 OR ""ICPSR 1311""",0
1312,10.3886/ICPSR01312,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01312/resources ,"Schmid, Frank A. Stock Return and Interest Rate Risk at Fannie Mae and Freddie Mac. Federal Reserve Bank of St. Louis Review. 87, (1), 35-48.",2005,y,1,1,,,"10.3886/ICPSR01312 OR ICPSR1312 OR ""ICPSR 1312""",0
1313,10.3886/ICPSR01313,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01313/resources ,"Cheng, I-Hui,  Wall, Howard J. Controlling for Heterogeneity in Gravity Models of Trade and Integration. Federal Reserve Bank of St. Louis Review. 87, (1), 49-64.",2005,y,1,48,,,"10.3886/ICPSR01313 OR ICPSR1313 OR ""ICPSR 1313""",0
1314,10.3886/ICPSR01314,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01314/resources ,"Wheeler, Christopher H. Evidence on Wage Inequality, Worker Education, and Technology. Federal Reserve Bank of St. Louis Review. 87, (3), 375-393.",2005,y,1,2,,,"10.3886/ICPSR01314 OR ICPSR1314 OR ""ICPSR 1314""",0
1315,10.3886/ICPSR01315,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01315/resources ,"Armesto, Michelle T.,  Gavin, William T. Monetary Policy and Commodity Futures. Federal Reserve Bank of St. Louis Review. 87, (3), 395-406.",2005,n,,,,,"10.3886/ICPSR01315 OR ICPSR1315 OR ""ICPSR 1315""",0
1317,10.3886/ICPSR01317,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01317/resources ,"Altman, Micah,  MacDonald, Karin,  McDonald, Michael P. Pushbutton Gerrymanders? How computing has changed redistricting. Party Lines: Competition, Partisanship, and Congressional Redistricting. Washington, DC: Brookings Institution.",2005,y,2,3,,,"10.3886/ICPSR01317 OR ICPSR1317 OR ""ICPSR 1317""",1 (citation of the dataset),http://scholar.google.com/scholar?hl=en&q=10.3886%2FICPSR01317+OR+ICPSR1317+OR+%22ICPSR+1317%22&btnG=Search&as_sdt=0%2C50&as_ylo=&as_vis=0
1319,10.3886/ICPSR01319,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01319/resources ,"Moore, Will H.,  Shellman, Stephen M. Refugee or Internally Displaced Person? . Comparative Political Studies. 39,",2006,y,1,7,,,"10.3886/ICPSR01319 OR ICPSR1319 OR ""ICPSR 1319""",0
1320,10.3886/ICPSR01320,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01320/resources ,"Belaygorod, Anatoliy,  Dueker, Michael J. Discrete Monetary Policy Changes and Changing Inflation Targets in Estimated Dynamic Stochastic General Equilibrium Models. Federal Reserve Bank of St. Louis Review. 87, (6), 719-734.",2005,n,,,,,"10.3886/ICPSR01320 OR ICPSR1320 OR ""ICPSR 1320""",0
1321,10.3886/ICPSR01321,http://www.icpsr.umich.edu/icpsrweb/ICPSR/biblio/studies/01321/resources ,"Neely, Christopher . An Analysis of Recent Studies of the Effect of Foreign Exchange Interventions. Federal Reserve Bank of St. Louis Review. 87, (6), 685-718.",2005,y,1,18,,,"10.3886/ICPSR01321 OR ICPSR1321 OR ""ICPSR 1321""",0
